[2025-11-20 08:27:50]    INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-20 08:28:43]    INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-20 08:34:00]    INFO django.utils.autoreload - E:\pythonspace\skerp_project\quality\outgoing\views.py changed, reloading.
[2025-11-20 08:34:01]    INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-20 09:05:30] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:05:42] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:13:44] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:14:02] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:19:59] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:20:12] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:20:14] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:21:00] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:21:36] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:21:56] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:21:59] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:33:23] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:34:56] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:37:05] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:37:20] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:38:24] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:38:26] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 09:38:30] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:10:54] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:11:09] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:11:22] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:11:26] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:11:51] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:12:05] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:12:11] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:12:24] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:12:55] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:13:04] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:13:13] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:16:21] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:17:59] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:34:32] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:35:16] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:46:00] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:50:01] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:50:41] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:51:00] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 10:54:13] WARNING django.request - Not Found: /favicon.ico
[2025-11-20 11:12:51] WARNING django.request - Not Found: /robots.txt
[2025-11-20 11:12:53] WARNING django.request - Not Found: /favicon.ico
[2025-11-20 11:27:03] WARNING django.request - Not Found: /Web/Auth
[2025-11-20 11:39:20] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 11:50:59] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 11:53:05] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 11:53:06] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 12:57:17]    INFO django.utils.autoreload - E:\pythonspace\skerp_project\quality\inspections\models.py changed, reloading.
[2025-11-20 12:57:18]    INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-20 12:57:32]    INFO django.utils.autoreload - E:\pythonspace\skerp_project\quality\inspections\models.py changed, reloading.
[2025-11-20 12:57:33]    INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-20 12:58:14]    INFO django.utils.autoreload - E:\pythonspace\skerp_project\quality\inspections\models.py changed, reloading.
[2025-11-20 12:58:14]    INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-20 13:03:20] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 13:03:23] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 13:10:31] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 14:14:02] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 14:33:18] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 14:33:56] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 14:37:19] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 14:38:50] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 14:51:51] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 15:10:36] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 15:12:27] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 15:17:33] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 15:21:34] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:41:55] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:42:08] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:40] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:41] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:41] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:42] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:42] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:42] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:42] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:43] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:43] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:43] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:43] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:44:48] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:02] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:04] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:04] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:04] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:04] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
